24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Card Name,Short Name,Types,Attack Type,Damage Type,Damage,Minimum Range,Range,Move Points,Duration,Trigger,Keep,Trigger Effect,Trigger 2,Keep 2,Trigger Effect 2,Text,Flavor Text,Play Text,Trigger Text,Trigger Attempt Text,Trigger Succeed Text,Trigger Fail Text,Trigger Text 2,Trigger Attempt Text 2,Trigger Succeed Text 2,Trigger Fail Text 2,Component1,Params1,Component2,Params2,Component3,Params3,Component4,Params4,Component5,Params5,Params,Plus Minus,Quality,Quality Warrior,Quality Priest,Quality Wizard,Quality Dwarf,Quality Elf,Quality Human,Rarity,Function Tags,Attachment Image,Status,Audio Key,Audio Key 2,Set,Level,Slots,Art,,,,,,,,
184,Long Branch,Long Branch,Attack,Melee,Crushing,4,2,4,,,,,,,,,This card may not target characters adjacent to you.,"The taller the foe, the longer their reach. ","<aia> reaches out and *swats* <ata> with a *long, heavy branch*.",,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,B,,,,,,,Common,Harmful,,Implemented,BLUDGEON,,0,,,Done,,,,,,,,
185,Long-armed Chop,,Attack,Melee,Slashing,5,,2,,,,,,,,,Choose up to 2 different targets for this Attack. ,,<aia> extends its bony arm and *chops* at <ata>.,,,,,,,,,TargetedDamageComponent,numberTargets=2;uniqueTargets=true,,,,,,,,,,,C,,,,,,,Common,Harmful,,Implemented,CHOP,,0,,,HOLD,,,,,,,,
186,Shambling Bash,Shamb. Bash,"Attack,Move",Melee,Crushing,8,,1,,,,,,,,,<u>Step 1</u>. <u>Slide Back 1</u>.,"Gruesome was its gait, and dreadful were its blows. ",<aia> *bashes* <ata>,,,,,,,,,TargetedDamageComponent,,StepComponent,movePoints=1,MoveTargetComponent,movePoints=1;slide;mustMoveAway,,,,,dontProvokeTurn,-,B,B,B,B,,,,Common,Harmful,,Implemented,BLUDGEON,,0,,,Done,,,,,,,,
187,Lunging Bash,,"Attack,Move",Melee,Crushing,4,,1,,,,,,,,,<u>Step 1</u>. <u>Slide Back 1</u>.,"Always look for the gap in the ranks, the weak point at which your victory lies.",<aia> *bashes* <ata>,,,,,,,,,TargetedDamageComponent,,StepComponent,movePoints=1,MoveTargetComponent,movePoints=1;slide;mustMoveAway,,,,,dontProvokeTurn,+,C,C,C,C,,,,Rare,Harmful,,Implemented,BLUDGEON,,0,3,"Weapon,Divine Weapon,Boots,Divine Armor,Heavy Armor,Helmet,Shield,Staff,Martial Skill",Done,,,,,,,,
188,Lunging Bite,,"Attack,Move",Melee,Piercing,3,,1,,,,,,,,,<u>Step 1</u>.,,<aia> *lunges and bites* at <ata>,,,,,,,,,TargetedDamageComponent,,StepComponent,movePoints=1,,,,,,,,,D,D,D,D,,,,Common,Harmful,,Implemented,BITE,,0,,,HOLD,,,,,,,,
189,Lunging Hack,,"Attack,Move",Melee,Slashing,2,,1,,,,,,,,,<u>Step 1</u>.,I was warned to keep Yosik Songsword at arm's length. Might have worked if we'd been talking about a giant's arm.,<aia> *thrusts* at <ata>,,,,,,,,,TargetedDamageComponent,,StepComponent,movePoints=1,,,,,,,,+,D,D,D,D,,,,Uncommon,Harmful,,Implemented,CHOP,,0,3,"Weapon,Divine Weapon,Boots,Divine Armor,Heavy Armor,Helmet,Shield,Staff,Martial Skill",Done,,,,,,,,
190,Lunging Thrust,Lunge. Thrust,"Attack,Move",Melee,Piercing,3,,1,,,,,,,,,<u>Step 1</u>.,It's all in the footwork.,<aia> *lunges and stabs* at <ata>,,,,,,,,,TargetedDamageComponent,,StepComponent,movePoints=1,,,,,,,,,C,C,C,D,,,,Common,Harmful,,Implemented,STAB,,0,3,"Weapon,Divine Weapon,Boots,Divine Armor,Heavy Armor,Helmet,Shield,Staff,Martial Skill",Done,,,,,,,,
191,Massive Chop,,"Attack,Handicap",Melee,Slashing,10,,1,,,,,,,,,"Choose up to 2 different targets for this Attack. When this card is in hand, subtract 2 from your Block rolls.",,<aia> *chops mightily* at <ata>,,,,,,,,,TargetedDamageComponent,numberTargets=2;uniqueTargets=true,ModifyTriggerInHandComponent,triggeringCardType=Block;triggerPenalty=2,,,,,,,,+,B,B,B,C,,,,Rare,Harmful,,Implemented,CHOP,,0,27,"Weapon,Divine Weapon",Done,,,,,,,,
192,Massive Jaws,,Attack,Melee,Crushing,8,,1,,,,,,,,,<u>Penetrating</u>.,"""Never try to eat anything bigger than your head."" -Ancient wisdom",<aia> *bites* <ata> with its massive jaws!,,,,,,,,,TargetedDamageComponent,penetrating,,,,,,,,,,,B,,,,,,,Common,Harmful,,Implemented,BITE,,0,,,Done,,,,,,,,
193,Maze,,Utility,Magic,Arcane,,,6,,,,,,,,,Place target on a random square within two squares. Set its facing randomly.,,<ata> *is mazed*,,,,,,,,,TargetActorComponent,,MoveRandomlyComponent,range=2;facing;hideOnResolve,,,,,,,dontProvokeTurn,+,D,D,D,D,,,,Uncommon,Harmful,,Implemented,WIND,,0,3,"Arcane Item,Robes,Staff,Arcane Skill",Done,,,,,,,,
194,Meaty Goblin Fist,Meaty Fist,Attack,Melee,Crushing,7,,1,,,,,,,,,,"In the Goblin tongue, ""Hulkk"" means ""Giant bearer of meat"". It is not known if this is an honorific or a morbid prediction.",<aia> *punches* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,C,,,,,,,Common,Harmful,,Implemented,BLUDGEON,,0,,,Done,,,,,,,,
195,Memory Loss,,Attack,Magic,Arcane,,,6,,,,,,,,,Target discards their oldest card.,,<aia> makes <ata> *forget*,,,,,,,,,TargetActorComponent,,DiscardRevealedComponent,unrevealed;discardNumber=1,,,,,,,,,B,B,B,B,,,,Common,Harmful,,Implemented,GENERIC_MAGIC,,0,1,"Arcane Item,Robes,Staff,Arcane Skill",Done,,,,,,,,
196,Mighty Bludgeon,Mighty Bld.,Attack,Melee,Crushing,13,,1,,,,,,,,,,Blades? Don't make me laugh. This will crush armor as easily as bone and never needs sharpening.,<aia> *mightily bludgeons* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,A,A,B,C,,,,Common,Harmful,,Implemented,BLUDGEON,,0,1,Weapon,Done,,,,,,,,
197,Mighty Hack,,Attack,Melee,Slashing,13,,1,,,,,,,,,,"""If at first you don't succeed, hack, hack again."" -Cardhuntrian proverb",<aia> *mightily hacks* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,A,A,B,C,,,,Common,Harmful,,Implemented,CHOP,,0,1,Weapon,Done,,,,,,,,
198,Mighty Javelin Throw,Mighty Jav.,Attack,Projectile,Piercing,4,,10,,,,,,,,,,,<aia> *hurls a javelin at* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,B,,,,,,,Common,Harmful,,Implemented,THROW,,0,,,HOLD,,,,,,,,
199,Mighty Limb Smash,Mighty Limb,Attack,Melee,Crushing,4,,8,,,,,,,,,,"We should be safe over here, how far could that tree possibly reach?",<aia> reaches out and bludgeons <ata> with a *mighty branch*.,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,C,,,,,,,Common,Harmful,,Implemented,BLUDGEON,,0,,,Done,,,,,,,,
200,Mighty Spark,,Attack,Magic,Electrical,7,,6,,,,,,,,,<u>Hard to Block 2</u>.,"The most deadly sparking spells are preceded by a distinctive pinging sound. For most, this spark-ping is the last sound they ever hear.",<aia> shoots <ata> with a *mighty spark*,,,,,,,,,TargetedDamageComponent,,ModifyBlockRollComponent,mod=-2,,,,,,,,,A,,,A,,,,Uncommon,Harmful,,Implemented,ELECTRICAL,,0,1,"Staff,Arcane Skill",Done,,,,,,,,
201,Mind Drain,,Attack,Magic,Arcane,,,6,,,,,,,,,Targets discards the two oldest revealed cards in their hand.,,<aia> *drains the mind* of <ata>,,,,,,,,,TargetActorComponent,,DiscardRevealedComponent,discardNumber=2,,,,,,,,,A,A,A,A,,,,Uncommon,Harmful,,Implemented,ZAP,,0,5,"Arcane Item,Robes,Staff,Arcane Skill",Done,,,,,,,,
202,Mini-torch,,Attack,Magic,Fire,1,,1,,2,,,,,,,<u>Burning 2</u>. Duration 2.,"And lo, the contraption issued forth fire from a tiny tube. What sorcery was this?!",<aia> *spews fire* at <ata>,,,,,,,,,TargetedDamageComponent,,AttachToTargetComponent,,AttachedDamageComponent,damage=2;damageType=Fire,,,,,,,C,,,,,,,Common,Harmful,,Implemented,FIRE,,0,,,Done,,,,,,,,
203,Mob Attack,,Attack,Melee,Piercing,1,,1,,,,,,,,,"When this card does damage, increase its damage by 1 for every ally within 2 squares.",,<aia> attacks <ata> and *hopes for help!*,,,,,,,,,TargetedDamageComponent,maxDistance=2;damagePerAlly=1,,,,,,,,,,-,D,D,D,D,,,,Uncommon,Harmful,,Implemented,STAB,,0,12,"Weapon,Divine Weapon,Staff,Martial Skill",Done,,,,,,,,
204,Monkey Punch,M. Punch,Attack,Melee,Crushing,5,,1,,,,,,,,,,"They may only have a semi-opposable thumb, but it doesn't stop them making semi-deadly fists!",<aia> *punches* <ata> with a simian fist!,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,D,,,,,,,Common,Harmful,,Implemented,BLUDGEON,,0,,,Done,,,,,,,,
205,Four-Headed Bite,Four Bite,Attack,Melee,Slashing,8,,1,,,,,,,,,"This Attack targets every adjacent enemy, regardless of facing.","Four times bitten, eight times shy. ","<aia> *bites with multiple heads, in every direction*",,,,,,,,,DamageComponent,enemiesOnly,ThreeSixtyComponent,,,,,,,,,,B,,,,,,,Common,Harmful,,Implemented,BITE,,0,,,Done,,,,,,,,
206,Nimble Strike,,"Attack,Move",Melee,Piercing,4,,1,,,,,,,,,<u>Step 2</u>. <u>Fly</u>.,Be like the wind. The wind that cuts people in half.,<aia> *strikes nimbly* at <ata>,,,,,,,,,TargetedDamageComponent,,StepComponent,movePoints=2;fly,,,,,,,,,B,B,B,C,,,,Rare,Harmful,,Implemented,STAB,,0,3,"Weapon,Divine Weapon,Staff,Martial Skill",Done,,,,,,,,
207,Noxious Breath,,Attack,Magic,Unholy,1,,3,,2,,,,,,,"<u>Cone</u>. When attached, <u>Poison 3</u>.  Duration 2.",,<aia> breaths a *cone of noxious gas!*,,,,,,,,,ConeComponent,,DamageComponent,,AttachToTargetComponent,,AttachedDamageComponent,damage=3;damageType=Poison;blockedByArmor=false,,,,,B,,,,,,,Common,Harmful,,Implemented,UNHOLY,,0,,,Done,,,,,,,,
208,Obliterating Bludgeon,O. Bludgeon,Attack,Melee,Crushing,17,,1,,,,,,,,,,"Can you slay a four-headed Hydra with one blow? Yes, as long as that blow is very, very hard.",,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,AA,AA,A,B,,,,Rare,Harmful,,Implemented,BLUDGEON,,0,1,Weapon,Done,,,,,,,,
209,Obliterating Chop,Obliter. Chop,Attack,Melee,Slashing,10,,1,,,,,,,,,Choose up to 2 different targets for this Attack.,,<aia> *obliterates* <ata>,,,,,,,,,TargetedDamageComponent,numberTargets=2;uniqueTargets=true,,,,,,,,,,,A,A,A,C,,,,Rare,Harmful,,Implemented,CHOP,,0,1,"Weapon,Divine Weapon",done,,,,,,,,
210,Obliterating Hack,Obliter. Hack,Attack,Melee,Slashing,17,,1,,,,,,,,,,His armor slowed my blade for a moment. But that was all it did.,,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,AA,AA,A,B,,,,Rare,Harmful,,Implemented,CHOP,,0,1,Weapon,Done,,,,,,,,
211,Obliterating Spark,Obliter. Spark,Attack,Magic,Electrical,9,,6,,,,,,,,,<u>Hard to Block 2</u>.,"One moment Elrann was there, and the next he was just an ash outline on the dungeon wall.",<aia> shoots <ata> with a *obliterating spark*,,,,,,,,,TargetedDamageComponent,,ModifyBlockRollComponent,mod=-2,,,,,,,,,AA,,,AA,,,,Common,Harmful,,Implemented,ELECTRICAL,,0,1,"Staff,Arcane Skill",Done,,,,,,,,
212,Paralyzing Bolt,Paralyzing B.,Attack,Magic,Arcane,,,5,,,,,,,,,Target discards all Move cards. <u>Slide 1</u>.,,<aia> fires a *paralyzing bolt* at <ata>,,,,,,,,,TargetActorComponent,,DiscardByTypeComponent,cardType=Move,MoveTargetComponent,movePoints=1;slide,,,,,dontProvokeTurn,,AA,A,A,AA,,,,Uncommon,Harmful;Push,,Implemented,ZAP,,0,26,"Arcane Item,Robes,Staff,Arcane Skill",Done,,,,,,,,
213,Path of Knives,,Attack,Magic,Arcane,,,5,,2,,,,,,,Attach to target. Target takes 2 Slashing damage for each square they move. Duration 2.,,<aia> *curses* <ata>,,,,,,,,,TargetActorComponent,,AttachToTargetComponent,,DamageAfterMoveComponent,attached;damagePerSquare=2;damageType=Slashing,,,,,,,C,C,C,C,,,,Rare,Harmful,,Implemented,ZAP,,0,12,"Arcane Item,Robes,Staff,Arcane Skill",Done,,,,,,,,
214,Penetrating Bolt,Pen. Bolt,Attack,Magic,Arcane,3,,8,,,,,,,,,<u>Penetrating</u>.,Wearing metal armor when facing a wizard may be more than a simple fashion blunder...,<aia> fires a *penetrating bolt* at <ata>,,,,,,,,,TargetedDamageComponent,penetrating,,,,,,,,,,,B,C,B,B,,,,Common,Harmful,,Implemented,ZAP,,0,1,"Staff,Arcane Skill",done,,,,,,,,
215,Penetrating Cut,Pen. Cut,Attack,Melee,Piercing,3,,1,,,,,,,,,<u>Penetrating</u>.,Every suit of armor has a weak point. I just spotted yours.,<aia> *sharply cuts* <ata>,,,,,,,,,TargetedDamageComponent,penetrating,,,,,,,,,,+,D,D,D,D,,,,Common,Harmful,,Implemented,STAB,,0,1,"Weapon,Divine Weapon,Boots,Divine Armor,Heavy Armor,Helmet,Shield,Staff,Martial Skill",Done,,,,,,,,
216,Penetrating Zap,Pen.Zap,Attack,Magic,Arcane,2,,3,,,,,,,,,<u>Penetrating</u>.,"So named because ""Portirissian's Pernicious Perforating Pain Projection"" was too awkward to say.",<aia> *zaps* <ata>,,,,,,,,,TargetedDamageComponent,penetrating,,,,,,,,,,,D,D,D,D,,,,Common,Harmful,,Implemented,ZAP,,0,1,"Arcane Item,Robes,Staff,Arcane Skill",Done,,,,,,,,
217,Penetrating Stab,Pen. Stab,Attack,Melee,Piercing,6,,2,,,,,,,,,<u>Penetrating</u>.,"Lizardman spears are tipped with chipped obsidian, crude, yet sharper than any steel.",<aia> punctures <ata> with a *penetrating stab!*,,,,,,,,,TargetedDamageComponent,penetrating,,,,,,,,,,-,A,A,B,C,,,,Common,Harmful,,Implemented,STAB,,0,2,"Weapon,Divine Weapon,Staff,Martial Skill",Done,,,,,,,,
218,Pinning Spear Toss,Pinning Spear,Attack,Projectile,Piercing,5,,5,,2,,,,,,,<u>Halt</u>. Duration 2.,Your foes cannot escape you with their feet staked to the ground. -Dwarven proverb,<aia> *pins* <ata>,,,,,,,,,TargetedDamageComponent,,AttachToTargetComponent,,HaltComponent,,,,,,,,AA,AA,AA,AA,,,,Uncommon,Harmful,,Implemented,SPEAR,,0,35,"Weapon,Divine Weapon,Martial Skill",Done,,,,,,,,
219,Poisoned Cut,,Attack,Melee,Piercing,1,,2,,2,,,,,,,<u>Poison 1</u>. Duration 2.,"""Don't bother begging for the antidote, there isn't one."" -Vek the Vile",<aia> *poisons* <ata>,,,,,,,,,TargetedDamageComponent,,AttachToTargetComponent,,AttachedDamageComponent,damage=1;damageType=Poison;blockedByArmor=false,,,,,,,D,D,D,D,,,,,Harmful,,Implemented,STAB,,0,4,,Done,,,,,,,,
220,Poisoned Spear Stab,Poison Spear,Attack,Melee,Piercing,2,,2,,2,,,,,,,<u>Poison 2</u>. Duration 2.,Lizardmen are famous for their unceasing bitter hatred of all warm-blooded creatures. ,<aia> *poisons* <ata>,,,,,,,,,TargetedDamageComponent,,AttachToTargetComponent,,AttachedDamageComponent,damage=2;damageType=Poison;blockedByArmor=false,,,,,,,C,,,,,,,Common,Harmful,,Implemented,SPEAR,,0,4,,Done,,,,,,,,
221,Powerful Bludgeon,P. Bludgeon,Attack,Melee,Crushing,11,,1,,,,,,,,,,The indignity of being bested by the Ogre was exceeded only by the agony of having six broken ribs. ,<aia> *powerfully bludgeons* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,B,B,B,C,,,,Common,Harmful,,Implemented,BLUDGEON,,0,1,Weapon,Done,,,,,,,,
222,Powerful Hack,P. Hack,Attack,Melee,Slashing,11,,1,,,,,,,,,,"""Does raw power trump skill? Let's find out."" -Grugg Axbreaker",<aia> *powerfully hacks* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,B,B,B,C,,,,Common,Harmful,,Implemented,CHOP,,0,1,Weapon,Done,,,,,,,,
223,Powerful Spark,Power. Spark,Attack,Magic,Electrical,3,,6,,,,,,,,,<u>Hard to Block 2</u>.,"""Always use your superior intellect to your advantage. Or if that fails, electrocution is also good."" -Halpin Halfstaff",<aia> shoots <ata> with a *powerful spark* ,,,,,,,,,TargetedDamageComponent,,ModifyBlockRollComponent,mod=-2,,,,,,,,,C,C,C,C,,,,Common,Harmful,,Implemented,ELECTRICAL,,0,1,"Staff,Arcane Skill",Done,,,,,,,,
224,Predictable Stab,Pred. Stab,Attack,Melee,Piercing,5,,2,,,,,,,,,"If this Attack is blocked, you take 3 Piercing damage.","""Just when they think you won't possibly stab again... Stab harder."" -Snarri Goldsong",I'll bet <aia> is going to *stab* <ata>.  Yup.  Just like that.,,,,,,,,,TargetedDamageComponent,,,,DamageWhenBlockedComponent,instigatorDamage=3;damageType=Piercing,,,,,,,C,C,C,D,,,,Uncommon,Harmful,,Implemented,STAB,,0,3,"Weapon,Divine Weapon,Staff,Martial Skill",Done,,,,,,,,
225,Pseudopod Strike,Pseudopod,Attack,Melee,Crushing,6,,1,,,,,,,,,<u>Immediately</u> discard the oldest revealed card in target's hand.,,<aia> swats <ata> with a *pseudopod*,,,,,,,,,TargetedDamageComponent,,DiscardImmediateComponent,discardNumber=1,,,,,,,,,B,B,B,B,,,,Common,Harmful,,Implemented,TENTACLE,,0,,,Done,,,,,,,,
226,Puncturing Shot,Punc. Shot,Attack,Projectile,Piercing,6,,7,,,,,,,,,<u>Penetrating</u>.,,<aia> *fires a puncturing bolt* at <ata>,,,,,,,,,TargetedDamageComponent,penetrating,,,,,,,,,,,A,,,,,,,Common,Harmful,,Implemented,SHOOT,,0,,,,,,,,,,,
227,Quick Monkey Strike,Monkey Strk.,Attack,Melee,Piercing,7,,1,,,,,,,,,Subtract 3 from Block rolls against this card.,,"With a screech, <aia> *rakes* <ata> with a paw!",,,,,,,,,TargetedDamageComponent,,ModifyBlockRollComponent,mod=-3,,,,,,,,,B,,,,,,,Common,Harmful,,Implemented,STAB,,0,,,Done,,,,,,,,
228,Reaching Swing,Reach. Swing,Attack,Melee,Slashing,6,,2,,,,,,,,,Add 3 to Block rolls against this Attack.,,<aia> *telegraphs <aia_herhis> swing* at <ata>,,,,,,,,,TargetedDamageComponent,,ModifyBlockRollComponent,mod=3,,,,,,,,+,C,C,C,D,,,,Uncommon,Harmful,,Implemented,CHOP,,0,3,"Weapon,Divine Weapon,Staff,Martial Skill",Done,,,,,,,,
229,Rock-hard Punch,,Attack,Melee,Crushing,8,,1,,,,,,,,,,,<aia> delivers a rock-solid *punch* to <ata> ,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,B,,,,,,,Common,Harmful,,Implemented,BLUDGEON,,0,,,HOLD,,,,,,,,
230,Sapping Spear,Sap. Spear,Attack,Melee,Unholy,2,,2,,,,,,,,,"For each point of damage this Attack does, <u>Heal 1</u>.",,<aia> *spears <ata> and heals up!*,,,,,,,,,TargetedDamageComponent,,HealOnDamageComponent,damagePerHeal=1,,,,,,,,-,D,D,D,D,,,,Rare,Harmful,,Implemented,UNHOLY,,0,3,"Divine Weapon,Divine Armor,Divine Item,Divine Skill",Done,,,,,,,,
231,Scorching Claws,Scorch Claws,Attack,Magic,Fire,4,,1,,1,,,,,,,"<u>Burning 2</u>, Duration 1.","Well the good news is, the wound is cauterized!",<aia> *rakes* <ata> with fiery claws!,,,,,,,,,TargetedDamageComponent,,AttachToTargetComponent,,AttachedDamageComponent,damage=2;damageType=Fire,,,,,,,C,,,,,,,Common,Harmful,,Implemented,FIRE,,0,1,,Done,,,,,,,,
235,Shifty Stab,,"Attack,Move",Melee,Piercing,2,,2,,,,,,,,,<u>Step 1</u>.,"""Gentlemen, if you can't reach your foe, get a spear. If you still can't reach, get closer."" -The Bronze Prince",<aia> stabs <ata> in a *shifty* sort of way,,,,,,,,,TargetedDamageComponent,,StepComponent,movePoints=1,,,,,,,,-,C,C,D,D,,,,Uncommon,Harmful,,Implemented,STAB,,0,3,"Weapon,Divine Weapon,Staff,Martial Skill",Done,,,,,,,,
236,Short Spark,,Attack,Magic,Electrical,3,,4,,,,,,,,,<u>Hard to Block 2</u>.,"The electricity is formed here, and I just need something nearby to complete the circuit. Something like... You.",<aia> shoots <ata> with a *short spark.*,,,,,,,,,TargetedDamageComponent,,ModifyBlockRollComponent,mod=-2,,,,,,,,-,C,D,D,C,,,,Common,Harmful,,Implemented,ELECTRICAL,,0,1,"Staff,Arcane Skill",Done,,,,,,,,
237,Shredding Strike,Shred Strike,Attack,Melee,Slashing,6,,1,,,,,,,,,"If any damage from this Attack would be prevented by armor, that armor instead has no effect and is discarded.",,<aia> *shreds* <ata>,,,,,,,,,TargetedDamageComponent,forceArmorDiscard,,,,,,,,,,+,B,B,B,C,,,,Rare,Harmful,,Implemented,CHOP,,0,6,"Weapon,Divine Weapon,Staff,Martial Skill",Done,,,,,,,,
238,Simple Bash,,Attack,Melee,Crushing,4,,1,,,,,,,,,<u>Slide Back 1</u>.,"I said, get AWAY from me!",<aia> *bashes* <ata>,,,,,,,,,TargetedDamageComponent,,MoveTargetComponent,movePoints=1;slide;mustMoveAway,,,,,,,dontProvokeTurn,,C,C,C,C,,,,Common,Harmful,,Implemented,BLUDGEON,,0,1,"Weapon,Divine Weapon,Boots,Divine Armor,Heavy Armor,Helmet,Shield,Staff,Martial Skill",Done,,,,,,,,
239,Simple Strike,,Attack,Melee,Crushing,3,,1,,,,,,,,,,Sometimes it's the simple things that are the most painful.,<aia> *strikes* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,D,D,D,D,,,,Common,Harmful,,Implemented,BLUDGEON,,0,1,"Weapon,Divine Weapon,Boots,Divine Armor,Heavy Armor,Helmet,Shield,Staff,Martial Skill",Done,,,,,,,,
240,Single-head Bite,Single Bite,Attack,Melee,Crushing,4,,1,,,,,,,,,<u>Penetrating</u>.,,<aia> *bites* <ata> with a single head.,,,,,,,,,TargetedDamageComponent,penetrating,,,,,,,,,,,D,,,,,,,Common,Harmful,,Implemented,BITE,,0,,,HOLD,,,,,,,,
241,Sizzling Bolt,,Attack,Magic,Fire,4,,10,,1,,,,,,,<u>Burning 2</u>. Duration 1.,Pyromancers are capable of concentrating oxygen into deadly slivers  and magically accelerating them at their targets.,<aia> fries <ata> with a *sizzling bolt*,,,,,,,,,TargetedDamageComponent,,AttachToTargetComponent,,AttachedDamageComponent,damage=2;damageType=Fire,,,,,,,B,B,B,B,,,,Common,Harmful,,Implemented,FIRE,,0,2,"Staff,Arcane Skill",Done,,,,,,,,
242,Long Spark,,Attack,Magic,Electrical,2,,10,,,,,,,,,<u>Hard to Block 1</u>.,"Electricity is a fickle mistress, no matter what the distance.",<aia> fires a *long spark* at <ata>,,,,,,,,,TargetedDamageComponent,,ModifyBlockRollComponent,mod=-1,,,,,,,,+,D,D,D,D,,,,Uncommon,Harmful,,Implemented,ELECTRICAL,,0,1,"Staff,Arcane Skill",Done,,,,,,,,
243,Skillful Strike,,Attack,Melee,Piercing,7,,1,,,,,,,,,<u>Hard to Block 3</u>.,"""If you look closely, you will see I have carved my bill into your chest right after my initials."" -Talissa the Skinflint",<aia> delivers a *skillful strike* to <ata>,,,,,,,,,TargetedDamageComponent,,ModifyBlockRollComponent,mod=-3,,,,,,,,,B,B,B,C,,,,Common,Harmful,,Implemented,STAB,,0,1,"Weapon,Divine Weapon",Done,,,,,,,,
244,Small Pseudopod Strike,Small Pseud.,Attack,Melee,Crushing,2,,1,,,,,,,,,<u>Immediately</u> discard the oldest revealed card in target's hand.,,<aia> swats <ata> with a *small pseudopod*,,,,,,,,,TargetedDamageComponent,,DiscardImmediateComponent,discardNumber=1,,,,,,,,,C,C,C,C,,,,Common,Harmful,,Implemented,TENTACLE,,0,,,Done,,,,,,,,
245,Sorcerous Bolt,Sorc. Bolt,Attack,Magic,Arcane,4,,6,,,,,,,,,,"""What sorcery is this?"" - The painful kind.",<aia> fires a *sorcerous bolt* at <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,C,C,C,C,,,,Uncommon,Harmful,,Implemented,ZAP,,0,1,"Staff,Arcane Skill",Done,,,,,,,,
246,Zap,,Attack,Magic,Arcane,4,,2,,,,,,,,,,"""Elements are the concern of mortals. Pure energy is the instrument of the divine."" -Nianne of Burntree Vale",<aia> *zaps* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,D,D,D,D,,,,Common,Harmful,,Implemented,ZAP,,0,1,"Arcane Item,Robes,Staff,Arcane Skill",Done,,,,,,,,
247,Big Zap,,Attack,Magic,Arcane,5,,2,,,,,,,,,,"""In truth, more mayhem is wrought by the sound and  bright flash of this technique than its power, yet its effectiveness cannot be disputed."" -Anjin of Oeld",<aia> *zaps* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,+,D,D,D,D,,,,Uncommon,Harmful,,Implemented,ZAP,,0,1,"Arcane Item,Robes,Staff,Arcane Skill",Done,,,,,,,,
248,Sparking Breath,Spark Breath,Attack,Magic,Electrical,2,,8,,,,,,,,,<u>Linear</u>.,,<aia> breathes a thin jolt of *electricity!*,,,,,,,,,LinearComponent,,DamageComponent,,,,,,,,,,C,,,,,,,Rare,Harmful,,Implemented,ELECTRICAL,,0,,Staff,Done,,,,,,,,
249,Spear Thrust,,Attack,Melee,Piercing,4,,2,,,,,,,,,,"""Guess which weapon I'm going to impale you on. Go on. Guess.""  -Bethan of the Icy Rage ",<aia> *stabs* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,D,,,,,,,Common,Harmful,,Implemented,SPEAR,,0,2,,Done,,,,,,,,
250,Spelldrain Spike,Spelldrain,Attack,Projectile,Piercing,,,6,,,,,,,,,Targets discards the two oldest revealed cards in their hand.,,<aia> *drains the mind* of <ata> with a cursed spike!,,,,,,,,,TargetActorComponent,,DiscardRevealedComponent,discardNumber=2,,,,,,,,,B,,,,,,,Common,Harmful,,Implemented,SPEAR,,0,,,HOLD,,,,,,,,
251,Spiked Fist,,Attack,Melee,Piercing,4,,1,,,,,,,,,<u>Penetrating</u>.,,<aia> *impales* <ata> with a spiked fist!,,,,,,,,,TargetedDamageComponent,penetrating,,,,,,,,,,,C,,,,,,,Common,Harmful,,Implemented,STAB,,0,,,HOLD,,,,,,,,
252,Spore Cloud,,Attack,Magic,Arcane,5,,8,,1,,,,,,,<u>Burst 2</u>. <u>Halt</u>. Duration 1.,,<aia> unleashes a cloud of clinging *spores*!,,,,,,,,,BurstComponent,radius=2,DamageComponent,,AttachToTargetComponent,,HaltComponent,,,,,,A,,,,,,,Common,Harmful,,Implemented,GENERIC_MAGIC,,0,,,HOLD,,,,,,,,
253,Stab,,Attack,Melee,Piercing,3,,2,,,,,,,,,,"""That's wound number nine. Let's see how long I can keep you alive."" -Skarn Elkinford",<aia> *stabs* <ata>,,,,,,,,,TargetedDamageComponent,,,,,,,,,,,,D,D,D,D,,,,Uncommon,Harmful,,Implemented,STAB,,0,2,"Weapon,Divine Weapon,Staff,Martial Skill",Done,,,,,,,,
